tweet_id,retweet_count,favorite_count
873580283840344065,3741,23419
873337748698140672,1512,0
873213775632977920,1512,6969
872967104147763200,5147,26414
872820683541237760,3534,14245
872620804844003328,3493,20099
872486979161796608,8605,39451
872122724285648897,7748,33328
871879754684805121,10564,36644
871762521631449091,3328,19644
871515927908634625,3310,19560
871166179821445120,5454,0
871102520638267392,5269,20311
871032628920680449,3648,22034
870804317367881728,5930,32668
870726314365509632,3,118
870656317836468226,2533,12040
870374049280663552,25331,80524
870308999962521604,3984,21276
870063196459192321,7970,35625
869772420881756160,9686,41349
869702957897576449,6083,27505
869596645499047938,3014,15560
869227993411051520,3632,19900
868880397819494401,13901,63836
868639477480148993,2005,0
868622495443632128,5109,26062
868552278524837888,2005,9858
867900495410671616,4036,23622
867774946302451713,7089,33153
867421006826221569,2411,15738
867072653475098625,118,0
867051520902168576,7611,31492
866720684873056260,4638,19592
866686824827068416,3360,18851
866450705531457537,34114,119656
866334964761202691,13863,51385
866094527597207552,8121,0
865718153858494464,5449,25125
865359393868664832,4848,25929
865006731092295680,7447,27462
864873206498414592,8434,31648
864279568663928832,2933,14315
864197398364647424,8633,29527
863907417377173506,4013,20230
863553081350529029,4070,15013
863471782782697472,2368,0
863432100342583297,5095,23386
863427515083354112,94,2195
863079547188785154,1077,8617
863062471531167744,2368,8343
862831371563274240,5017,18852
862722525377298433,3446,16786
862457590147678208,4826,20159
862096992088072192,22628,73299
861383897657036800,10459,35557
861288531465048066,4045,16927
861005113778896900,3727,16469
860981674716409858,2109,0
860924035999428608,792,0
860563773140209665,2109,7410
860524505164394496,5173,23309
860276583193509888,3419,18082
860184849394610176,5736,16454
860177593139703809,30338,0
859924526012018688,4012,19320
859851578198683649,3448,15228
859607811541651456,1539,18370
859196978902773760,29629,88963
859074603037188101,13366,33503
858860390427611136,7999,0
858843525470990336,3433,15390
858471635011153920,4781,21299
858107933456039936,2870,15583
857989990357356544,2560,15976
857746408056729600,10486,33964
857393404942143489,1619,5851
857263160327368704,4460,19878
857214891891077121,17,227
857062103051644929,170,0
857029823797047296,3961,18810
856543823941562368,2854,16173
856526610513747968,1862,11788
856330835276025856,658,0
856288084350160898,16,510
856282028240666624,6231,27603
855862651834028034,26,342
855860136149123072,1004,4984
855857698524602368,2102,11823
855851453814013952,17809,45409
855818117272018944,5404,26558
855459453768019968,8176,29840
855245323840757760,5945,0
855138241867124737,44,0
854732716440526848,6048,22837
854482394044301312,6872,29304
854365224396361728,4684,18908
854120357044912130,7485,32042
854010172552949760,3159,16226
853760880890318849,5764,28669
853639147608842240,10114,34921
853299958564483072,3566,15576
852936405516943360,2010,0
852912242202992640,1834,9117
852672615818899456,2165,15008
852553447878664193,3517,16437
852311364735569921,9983,33367
852226086759018497,6884,20148
852189679701164033,1594,11534
851861385021730816,20,0
851591660324737024,3507,16377
851464819735769094,7124,24457
851224888060895234,5778,20859
850753642995093505,9274,31215
850380195714523136,2645,13216
850333567704068097,336,3489
850145622816686080,3845,16515
850019790995546112,4928,20661
849776966551130114,7697,30861
849668094696017920,5019,0
849412302885593088,3189,16071
849336543269576704,1932,11554
849051919805034497,8611,42955
848690551926992896,4383,25538
848324959059550208,4673,25109
848213670039564288,748,8302
848212111729840128,3103,16571
847978865427394560,3310,0
847971574464610304,438,0
847962785489326080,5176,23884
847842811428974592,1348,5533
847617282490613760,423,7094
847606175596138505,3471,19076
847251039262605312,4364,20820
847157206088847362,5973,20265
847116187444137987,3245,21782
846874817362120707,3988,20422
846514051647705089,11809,45401
846505985330044928,3132,14363
846153765933735936,9235,32278
846139713627017216,10142,31494
846042936437604353,2933,16299
